ID,Title,Description
P30,Некоторые приготовления к релизу,"Очевидно, что у вас недостаточно времени, чтобы сделать всё, но вы можете решить основные проблемы и подготовить кампанию на достойном уровне."
P31,Полномасштабные приготовления к релизу,"Ваша команда работает над релизом, уделяя внимание всему. Это займет время, но поскольку у вас оно есть, вы можете себе это позволить."
P32,Только необходимая поддержка,"У нас нет достаточных ресурсов для полной поддержки, поэтому мы сделаем только самое необходимое."
P33,Поддержка клиентов по телефону и электронной почте,Мы будем оказывать поддержку клиентам по телефону и электронной почте.
P34,Поддержка с LiveOPS,"Мы не только организуем поддержку, но и будем регулярно проводить мероприятия и активности для наших клиентов (LiveOPS)."
P35,Аутсорсинговая поддержка,"Нам не нужно, чтобы наша команда занималась поддержкой клиентов. Давайте наймем аутсорсинговую компанию, чтобы она сделала это за нас!"
HL_P0,Полевое исследование,"Лично посетить 3-5 отдалённых аулов, чтобы понять их проблемы со здравоохранением, интернетом и повседневной жизнью."
HL_P1,Онлайн-опросы,"Провести дистанционные опросы и интервью с жителями аулов и медработниками по телефону и через интернет для быстрого сбора требований."
HL_P2,Партнёрство с НПО,"Сотрудничать с НПО, работающей в сфере здравоохранения в сельских районах, чтобы использовать их знания и сеть контактов."
HL_P3,Анализ данных,"Изучить статистику здравоохранения, отчёты о связи и похожие проекты телемедицины из других стран для формирования подхода."
HL_P4,Полнофункциональное веб-приложение,"Создать комплексное веб-приложение с видеозвонками, записью на приём, медкартами и интеграцией платежей для максимального функционала."
HL_P5,Простое мобильное приложение,"Создать базовое мобильное приложение с упором на видеоконсультации и запись на приём - простое в использовании для пожилых."
HL_P6,Интеграция с WhatsApp,"Создать сервис через WhatsApp - самый популярный мессенджер в аулах, очень доступный, но с ограниченными возможностями."
HL_P7,Progressive Web App,"Создать PWA, работающее и на мобильных, и на компьютерах, с офлайн-режимом для нестабильного интернета."
HL_P8,Малый пилот в 2 аулах,"Запустить осторожный пилот с 20-30 пользователями в 2 аулах с тщательным мониторингом и поддержкой для безопасного тестирования."
HL_P9,Агрессивный запуск в 5 аулах,"Быстрый запуск в 5 аулах со 100+ потенциальными пользователями, чтобы быстро учиться на объёме и получить валидацию рынка."
HL_P10,Программа обучения врачей,"Сосредоточиться на тщательном обучении 10-15 врачей перед расширением базы пользователей для обеспечения отличного качества сервиса."
HL_P11,Местные координаторы,"Обучить 5-7 местных координаторов в аулах, которые будут помогать жителям пользоваться платформой - модель народного внедрения."
HL_P12,Партнёрство с государством,"Обратиться в Минздрав за официальной поддержкой и интеграцией в национальную систему здравоохранения для массового масштаба."
HL_P13,Open Source релиз,"Выпустить платформу как открытый DPG для других стран - максимизировать глобальное влияние и получить вклад сообщества."
HL_P14,Премиум для городов,"Добавить платные премиум-функции для городских пользователей для создания устойчивой бизнес-модели, сохраняя бесплатный доступ для сёл."
HL_P15,Региональное расширение,"Расшириться на 20+ аулов в 3 регионах с маркетинговой кампанией, чтобы доказать масштабируемость и максимизировать базу пользователей."
